CompanyName,WineNameVintage,StandName,Lond,product_ref,Note,,SONETTO VINTAGE 10.9.12,SUPPLIER VINTAGE,DAVENTRY VINT CHECK 14.6.12,STOCK 24.8.12,920 Stock 02/08/2012,"On Order
As at 02.08.12",,f10,Stock in Brackmills,Stock on order,FAIR VINTAGE,P9 Promotion,"P9 Was
MB Price","P9 Now
MB Price",P9 Start Date,P9 End Date,"Web Bottle Price
XX.XX.11",New Listing Y_N,On Prom Y_N,Wine By the Case EXC,STILL_ SPK,ORGANIC_ FAIR TRADE_ VEGETARIAN,PRODUCER,COUNTRY,REGION,GRAPE 1,GRAPE 2,GRAPE 3,EXCLUSIVES TO MAIN ESTATE,NORMAL TESCO IN STORE RSP (From CUBE),NORMAL TESCO IN STORE RSP (From P9 Prom),AVAILABLE INSTORE (Y/N),TWC Normal Bott Price,TWC Price / (5%) or Prom Price,TWCF Show Bot Price (15%),TWCF Show Case Price (15%),Jay Was (Hide),Jay Was Roundown,Jay Now (Hide),Jay Now Rounddown,Jay Case,Stock 07/09/2012,Stock 10/09/2012,Case Size,Number of Fairs,ROS per Fair,Total Fair ROS,% Top Up,Min Cs Stk Required,Total Stk Value Required,Stock as of Wed 02_09 AM,Var to Min Req,Karla's Comments,Brandbank EAN _ Image URL,Brandbank Image Live,Brandbank Comment,Finest,NFS 17/10/2011,Stock 7:01 17.10.11,BWS Stock 17.10.11,BWS Held 17.10.11,BWS Orders 17.10.11,,Stock 7:01 19.10.11,BWS Stock 19.10.11,BWS Held 19.10.11,BWS Orders 19.10.11,Nick Exclusive Report,NFS,,
Moet Hennessy UK,Cloudy Bay Pelorus NV,Moet Hennessy UK,L12,66446512,,Cloudy Bay Pelorus,0,0,0,672,,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=066446512&id=267154420,,,,,,,,,,,x,,Wine by the case,,,Cloudy Bay,New Zealand,Marlborough,Chardonnay,Pinot Noir,,#N/A,0,Exclusive to Dot Com,N,£19.00 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,66446512,0,,
Moet Hennessy UK,Cloudy Bay Sauvignon Blanc 2011,Moet Hennessy UK,L12,51724523,,Cloudy Bay Sauvignon Blanc,2011,2011,2011,3162,,770,http://www.tesco.com/wine/product/details/default.aspx?searchBox=051724523&id=258780740,,,,,,,,,,,,,Wine by the case,,,Cloudy Bay,New Zealand,Marlborough,,,,#N/A,0,Exclusive to Dot Com,N,£18.00 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,51724523,0,,
Moet Hennessy UK,Terrazas de los Andes Selection Malbec 2008/2009,Moet Hennessy UK,L12,72091046,,Terrazas de los Andes Selection Malbec,2009,2009,20082009,3888,511,60,http://www.tesco.com/wine/product/details/default.aspx?searchBox=072091046&id=274261150,,,,,,,,,,,,,Wine by the case,,,Terrazas de los Andes,Argentina,Mendoza,Malbec,,,2308566,12.49,,,£12.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,72091046,0,,
Moet Hennessy UK,Terrazas Selection Cabernet Sauvignon 2008,Moet Hennessy UK,L12,70701884,,Terrazas Selection Cabernet Sauvignon,2008,2008,2008,936,,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=070701884&id=271421012,,,,,,,,,,,,,Wine by the case,,,Terrazas de los Andes,Argentina,Mendoza,Cabernet Sauvignon,,,#N/A,12.49,Exclusive to Dot Com,N,£12.50 ,£10.00 ,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,70701884,0,,
Moet Hennessy UK,Terrazas Selection Chardonnay 2009/2010,Moet Hennessy UK,L12,70701850,,Terrazas Selection Chardonnay,2009,2010,20092010,288,,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=070701850&id=271420900,,,,,,,,,,,,,Wine by the case,,,Terrazas de los Andes,Argentina,Mendoza,Chardonnay,,,#N/A,12.49,Exclusive to Dot Com,N,£12.50 ,£10.00 ,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,70701850,0,,
Moet Hennessy UK,Terrazas Selection Torrontes 2010,Moet Hennessy UK,L12,70701913,,Terrazas Selection Torrontes,2010,2010,2010,786,,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=070701913&id=271421104,,,,,,,,,,,,,Wine by the case,,,Terrazas de los Andes,Argentina,Mendoza,Torrontes,,,#N/A,12.49,Exclusive to Dot Com,N,£12.50 ,£10.00 ,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,70701913,0,,
Copestick Murray,Aguila Coleccion Reserva Cariñena  2007,Copestick Murray,L13,71553700,,Aguila Coleccion Reserva Cariñena ,2007,2007,2007,32382,,1200,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071553700&id=273169146,,,,,,,,,,,,,TWC,,,Bodegas Virgen del Aguila,Spain,Cariñena,Tempranillo,Cabernet Sauvignon ,Garnacha,#N/A,,Exclusive to Dot Com,N,£10.00 ,£5.00 ,£4.25 ,£25.50 ,10,10,5,5,30,2644,5259,6,5,,,,,,,,,,,,,,,,,,,,,,,71553700,0,,j
Copestick Murray,Gran Fabrica Cariñena Gran Reserva 2001,Copestick Murray,L13,67698655,,Gran Fabrica Cariñena Gran Reserva,2001,2001,2001,43860,,2640,http://www.tesco.com/wine/product/details/default.aspx?searchBox=067698655&id=268439641,,,,,,,,,,,,Y,TWC,,,Bodegas Virgen del Aguila,Spain,Cariñena,Tempranillo,Cabernet Sauvignon ,Garnacha,#N/A,,Exclusive to Dot Com,N,£11.00 ,£5.50 ,£4.68 ,£28.05 ,11,11,5.5,5.5,33,3078,5991,6,5,,,,,,,,,,,,,,,,,,,,,,,67698655,0,,j
Copestick Murray,Long Country Merlot 2011,Copestick Murray,L13,64411846,,Long Country Merlot,2011,2011,2011,1686,1259,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=064411846&id=265065943,,,,,,,,,,,,,TWC,,,Carolina Wine Brands,Chile,Central Valley,Merlot,,,#N/A,,Exclusive to Dot Com,N,£10.00 ,,£8.50 ,£51.00 ,10,10,7.5,7.5,45,19.5,40,6,5,,,,,,,,,,,,,,,,,,,,,,,64411846,0,,
Copestick Murray,Michel Gonet Blanc de Blancs Grand Cru NV,Copestick Murray,L13,72368250,,Michel Gonet Blanc de Blancs Grand Cru,0,0,0,432,,288,http://www.tesco.com/wine/product/details/default.aspx?searchBox=072368250&id=274815607,,,,,,,,,,,Y,,TWC,,,Champagne Michel Gonet,France,Champagne,Chardonnay,,,#N/A,,Exclusive to Dot Com,N,£35.00 ,,£29.75 ,£178.50 ,35,35,26.25,26.25,157.5,36,72,6,5,,,,,,,,,,,,,,,,,,,,,,,72368250,0,,
